n,Eii-0,0,Eii-1,1,Eii-2,2,Eii-3,3,Eii-4,4,Eii-5,5,Eii-6,6,Eii-7,7,Eii-8,8,Eii-9,9,Eii-10,10,Eii-11,11,Eii-12,12,Eii-13,13,Eii-14,14,Eii-15,15,Eii-16,16,Eii-17,17,Eii-18,18,Eii-19,19,Eii-20,20,Eii-21,21,Eii-22,22,Eii-23,23,Eii-24,24,Eii-25,25,Eii-26,26,Eii-27,27,Eii-28,28,Eii-29,29,Eii-30,30,Eii-31,31,Eii-32,32,Eii-33,33,Eii-34,34,Eii-35,35
5,3,3.06,1,1.51,1,1.8,,,1,1.81,1,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,3.06,2,2.58,2,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,2.76,1,1.29,1,1.44,3,2.8,1,1.54,1,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,2.76,2,2.2,2,2.15,,,,,2,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3,2.49,1,1.12,1,1.23,3,2.67,1,1.32,1,1.62,,,1,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3,2.49,2,1.93,2,1.94,,,2,2.49,2,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3,2.27,1,1,1,1.08,3,2.47,1,1.13,1,1.32,3,2.52,1,1.32,1,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3,2.27,2,1.72,2,1.75,,,2,2.13,2,1.88,,,,,2,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3,2.07,1,0.9,1,0.96,3,2.28,1,1,1,1.15,3,2.4,1,1.11,1,1.38,3,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
